tic_id,sector_run
80166433,1-39
389924075,1-39
116483514,1-39
190442486,1-39
128501004,1-39
306263608,1-39
165551882,1-39
425997655,1-39
287139872,1-39
29191624,1-39
142387023,1-39
390651552,1-39
242083025,1-39
12421862,1-39
317089588,1-39
26547036,1-39
271491157,1-39
259962054,1-39
373453507,1-39
441798995,1-39
198456933,1-39
147951030,1-39
264171144,1-39
82452140,1-39
165554103,1-39
422838133,1-39
77156657,1-39
287256467,1-39
155867025,1-39
315398848,1-39
149917086,1-39
418133917,1-39
379629854,1-39
10507330,1-39
167719618,1-39
143072696,1-39
122617317,1-39
311130133,1-39
404518509,1-39
77175217,1-39
62301521,1-39
418255064,1-39
350299588,1-39
176797879,1-39
334632624,1-39
41387532,1-39
362223355,1-39
398733009,1-39
424747720,1-39
302759417,1-39
230055368,1-39
458481611,1-39
157768969,1-39
102846772,1-39
243244680,1-39
238606535,1-39
127505658,1-39
101011575,1-39
366410512,1-39
143032776,1-39
166053959,1-39
74484423,1-39
298600443,1-39
1103432,1-39
303364023,1-39
431810418,1-39
332657786,1-39
164652245,1-39
158657354,1-39
142277868,1-39
293880523,1-39
147193084,1-39
296737508,1-39
361218772,1-39
456171328,1-39
94012094,1-39
424388628,1-39
239159011,1-39
440150441,1-39
283884522,1-39
6764171,1-39
255560319,1-39
177077336,1-39
29953537,1-39
374829238,1-39
337217173,1-39
219345200,1-39
167342439,1-39
149301575,1-39
276922692,1-39
111991770,1-39
396720998,1-39
270494650,1-39
160075684,1-39
140893722,1-39
219195044,1-39
49524528,1-39
314992600,1-39
407126408,1-39
399871011,1-39
