obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
27813596,TESS,timeseries,tess2020186164531-s0027-0000000167719618-0189-s,Light curves,S,mast:TESS/product/tess2020186164531-s0027-0000000167719618-0189-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.9-20200827,G03272,tess2020186164531-s0027-0000000167719618-0189-s_lc.fits,1785600,27813596,PUBLIC,3,TESS
27828457,TESS,timeseries,tess2020212050318-s0028-0000000167719618-0190-s,Light curves,S,mast:TESS/product/tess2020212050318-s0028-0000000167719618-0190-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.9-20200827,G03272,tess2020212050318-s0028-0000000167719618-0190-s_lc.fits,1848960,27828457,PUBLIC,3,TESS
27906111,TESS,timeseries,tess2020238165205-s0029-0000000167719618-0193-s,Light curves,S,mast:TESS/product/tess2020238165205-s0029-0000000167719618-0193-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.13-20201001,G03272,tess2020238165205-s0029-0000000167719618-0193-s_lc.fits,1915200,27906111,PUBLIC,3,TESS
27975098,TESS,timeseries,tess2020266004630-s0030-0000000167719618-0195-s,Light curves,S,mast:TESS/product/tess2020266004630-s0030-0000000167719618-0195-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.16-20201026,G03272,tess2020266004630-s0030-0000000167719618-0195-s_lc.fits,1998720,27975098,PUBLIC,3,TESS
28072405,TESS,timeseries,tess2020294194027-s0031-0000000167719618-0198-s,Light curves,S,mast:TESS/product/tess2020294194027-s0031-0000000167719618-0198-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.20-20201120,G03272,tess2020294194027-s0031-0000000167719618-0198-s_lc.fits,1860480,28072405,PUBLIC,3,TESS
28135575,TESS,timeseries,tess2020324010417-s0032-0000000167719618-0200-s,Light curves,S,mast:TESS/product/tess2020324010417-s0032-0000000167719618-0200-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.20-20201120,G03272,tess2020324010417-s0032-0000000167719618-0200-s_lc.fits,1903680,28135575,PUBLIC,3,TESS
28219275,TESS,timeseries,tess2020351194500-s0033-0000000167719618-0203-s,Light curves,S,mast:TESS/product/tess2020351194500-s0033-0000000167719618-0203-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.22-20210121,G03272,tess2020351194500-s0033-0000000167719618-0203-s_lc.fits,1892160,28219275,PUBLIC,3,TESS
28288601,TESS,timeseries,tess2021014023720-s0034-0000000167719618-0204-s,Light curves,S,mast:TESS/product/tess2021014023720-s0034-0000000167719618-0204-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.23-20210212,G03272,tess2021014023720-s0034-0000000167719618-0204-s_lc.fits,1854720,28288601,PUBLIC,3,TESS
60677083,TESS,timeseries,tess2021039152502-s0035-0000000167719618-0205-s,Light curves,S,mast:TESS/product/tess2021039152502-s0035-0000000167719618-0205-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.24-20210305,G03272,tess2021039152502-s0035-0000000167719618-0205-s_lc.fits,1828800,60677083,PUBLIC,3,TESS
60751746,TESS,timeseries,tess2021065132309-s0036-0000000167719618-0207-s,Light curves,S,mast:TESS/product/tess2021065132309-s0036-0000000167719618-0207-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.27-20210403,G03272,tess2021065132309-s0036-0000000167719618-0207-s_lc.fits,1837440,60751746,PUBLIC,3,TESS
60838916,TESS,timeseries,tess2018206045859-s0001-0000000167719618-0120-s,Light curves,S,mast:TESS/product/tess2018206045859-s0001-0000000167719618-0120-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.10-20200904,N/A,tess2018206045859-s0001-0000000167719618-0120-s_lc.fits,2039040,60838916,PUBLIC,3,TESS
60867559,TESS,timeseries,tess2018234235059-s0002-0000000167719618-0121-s,Light curves,S,mast:TESS/product/tess2018234235059-s0002-0000000167719618-0121-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.11-20200915,N/A,tess2018234235059-s0002-0000000167719618-0121-s_lc.fits,2004480,60867559,PUBLIC,3,TESS
60918134,TESS,timeseries,tess2018263035959-s0003-0000000167719618-0123-s,Light curves,S,mast:TESS/product/tess2018263035959-s0003-0000000167719618-0123-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.20-20201120,N/A,tess2018263035959-s0003-0000000167719618-0123-s_lc.fits,1998720,60918134,PUBLIC,3,TESS
61069755,TESS,timeseries,tess2018292075959-s0004-0000000167719618-0124-s,Light curves,S,mast:TESS/product/tess2018292075959-s0004-0000000167719618-0124-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.20-20201120,N/A,tess2018292075959-s0004-0000000167719618-0124-s_lc.fits,1897920,61069755,PUBLIC,3,TESS
61144377,TESS,timeseries,tess2021091135823-s0037-0000000167719618-0208-s,Light curves,S,mast:TESS/product/tess2021091135823-s0037-0000000167719618-0208-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.32-20210604,G03272,tess2021091135823-s0037-0000000167719618-0208-s_lc.fits,1854720,61144377,PUBLIC,3,TESS
